Item Name,Rarity,Attunement,Cost (gp),Note,Armor Cost,Rare Material,AC Bonus,Save Bonus,Set Score (Modifier),+2 Bonus To Score (Y/N),Weapon Bonus,Spell Level,Unlimited Charges (Y/N),Charges/Day (Unlimit = 7),Charges/Item (Destroyed),Spells Share Charges,"Condition (1Min, Save)",Consumable Damage (Avg),Consumable Save? (Y/N),Semi-Permanent Damage (Avg),Semi-Perm Save? (Y/N),Duration? (Minutes),Permanent Damage (Avg),Perm Save? (Y/N),Specific Situations (Y/N),Restore HP (Avg),Misc. Costs,2 Spell Level,2 Unlimited Charges (Y/N),2 Charges/Day (Unlimit = 7),3 Spell Level,3 Unlimited Charges (Y/N),3 Charges/Day (Unlimit = 7),MatCost,ACCost,SaveCost,SetScore Cost,BonusScore Cost,WeaponCost,Consum Spell Cost,PermCharges Cost,Charges - Destroyed,SpellShare ChargesCost,ConditionCost,ConsDMG Cost,Sm-PrDMG Cost,PerDMG Cost,AVGHP Cost,MiscCost,2 Consum Spell Cost,2 Perm Charges Cost,3 Consum Spell Cost,3 Perm Charges Cost,Source Sheet
"Moon Sickle, +2",Rare,Yes,15620,"Spell Save DC = AC bonus, treat extra d4 healing as unlimited healing word, misc cost includes focus & spell attack bonus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Moon Sickle, +3",Very Rare,Yes,44130,"Spell Save DC = AC bonus, treat extra d4 healing as unlimited healing word, misc cost includes focus & spell attack bonus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Outer Essence Shard, Lawful",Rare,Yes,12620,"based: 'unlimited' greater restoration, Misc cost for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Outer Essence Shard, Chaotic",Rare,Yes,6020,"based: 'unlimited' blur spell (plus 1 level due to increase effect), misc cost for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Outer Essence Shard, Good",Rare,Yes,3620,"based: Lv2 false life, misc cost for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Outer Essence Shard, Evil",Rare,Yes,734,misc cost for focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Planecaller's Codex,Rare,Yes,5240,"Treat swap spells as Lv3 (x3), adv on attacks as beast bond, extra spells are treated as if it were a staff, Misc Cost: 10 gp for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Protective Verses,Rare,Yes,5240,"Treat swap spells as Lv3 (x3), temp HP as false life added to extra spells, extra spells are treated as if it were a staff, Misc Cost: 10 gp for focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Reveler's Concertina,Rare,Yes,12120,"based: irresitible dance, Spell Save DC = AC Bonus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Rhythm-Maker's Drum, +1",Uncommon,Yes,2640,"Spell Save DC = AC bonus, spell attack = weapon bonus, treat recover inspiration as lv1 spell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Rhythm-Maker's Drum, +2",Rare,Yes,9120,"Spell Save DC = AC bonus, spell attack = weapon bonus, treat recover inspiration as lv1 spell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Rhythm-Maker's Drum, +3",Very Rare,Yes,26280,"Spell Save DC = AC bonus, spell attack = weapon bonus, treat recover inspiration as lv1 spell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Shadowfell Brand Tattoo,Rare,Yes,6480,"based: darkvision (x3), enhance ability; shadowy defense as shield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
Shadowfell Shard,Rare,Yes,6020,"based: disadv as bestow curse, misc cost is focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Spellwrought Tattoo, Cantrip",Common,No,99,cantrip (+1 lvl because anyone can cast it),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Spellwrought Tattoo, Lv1",Common,No,198,lv1 spell (+1 lvl because anyone can cast it),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Spellwrought Tattoo, Lv2",Uncommon,No,495,lv2 spell (+1 lvl because anyone can cast it),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Spellwrought Tattoo, Lv3",Uncommon,No,743,lv3 spell (+1 lvl because anyone can cast it),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Spellwrought Tattoo, Lv4",Rare,No,1386,lv4 spell (+1 lvl because anyone can cast it),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
"Spellwrought Tattoo, Lv5",Rare,No,1848,lv5 spell (+1 lvl because anyone can cast it),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCoE
